Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,com,jour,mois,an,hrmn,lum,agg,int,atm,col,lat,long,catr,circ,nbv,surf,infra,situ,vma,catv,obs,obsm,choc,manv,motor,pluie_mm,pluie_presence,pluie_cumul_3h,pluie_cumul_6h,pluie_cumul_24h,temperature,grav_label,grav_ord,grave,type_vehicule,eclairage,atm_groupe,chaussee_mouillee,type_route,type_collision,role,equipement,sexe_label,en_agglomeration,motif,age,age_groupe,date_acc,jour_semaine,weekend,heure,nuit,heure_groupe,log_pluie_3h,log_pluie_6h,log_pluie_24h,pluie_6h_classe
202400000074,203 988 388,155 781 622,A01,1,1,4,2,2008.0,5,8,0,-1,-1, -1,-1,97416,1,5,2024,18:55,3,2,1,1,6," -21,35266000","55,50573000",4,2,2,1,0,5,50,1,0,2,3,12,5,0.0,0,0.0,0.5,0.5,,blessé léger,1,0,vélo/VAE,nuit sans éclairage,normale,0,communale,autre/multiple,conducteur,non déterminable,femme,1,promenade,16.0,<18,2024-05-01,2,0,18,0,pointe soir,0.0,0.4054651081081644,0.4054651081081644,0-2 mm
202400000076,203 988 384,155 781 618,B01,1,1,4,1,2009.0,5,2,6,-1,-1, -1,-1,97411,1,5,2024,18:10,2,2,1,1,3," -20,90076000","55,49647000",2,1,2,1,9,1,50,2,0,2,1,1,1,0.0,0,0.0,0.0,0.0,25.3,blessé léger,1,0,2RM ≤50cm³,crépuscule,normale,0,nationale,côté,conducteur,casque,homme,1,promenade,15.0,<18,2024-05-01,2,0,18,0,pointe soir,0.0,0.0,0.0,0 mm
202400000076,203 988 386,155 781 620,A01,1,1,1,1,1954.0,5,1,0,-1,-1, -1,-1,97411,1,5,2024,18:10,2,2,1,1,3," -20,90076000","55,49647000",2,1,2,1,9,1,50,7,0,2,2,12,1,0.0,0,0.0,0.0,0.0,25.3,indemne,0,0,voiture,crépuscule,normale,0,nationale,côté,conducteur,ceinture,homme,1,promenade,70.0,65+,2024-05-01,2,0,18,0,pointe soir,0.0,0.0,0.0,0 mm
202400000109,203 988 299,155 781 557,A01,2,2,1,2,2006.0,0,1,0,-1,-1, -1,-1,97407,23,3,2024,17:05,1,1,1,9,6," -20,93623082","55,32559848",4,2,2,2,0,2,70,7,0,1,7,1,1,0.8,1,3.2000000000000037,3.2,3.2,25.7,indemne,0,0,voiture,jour,autre,1,communale,autre/multiple,passager,ceinture,femme,0,inconnu,18.0,<18,2024-03-23,5,1,17,0,pointe soir,1.4350845252893236,1.4350845252893227,1.4350845252893227,2-10 mm
202400000109,203 988 300,155 781 557,A01,3,2,1,1,2004.0,0,1,0,-1,-1, -1,-1,97407,23,3,2024,17:05,1,1,1,9,6," -20,93623082","55,32559848",4,2,2,2,0,2,70,7,0,1,7,1,1,0.8,1,3.2000000000000037,3.2,3.2,25.7,indemne,0,0,voiture,jour,autre,1,communale,autre/multiple,passager,ceinture,homme,0,inconnu,20.0,18-25,2024-03-23,5,1,17,0,pointe soir,1.4350845252893236,1.4350845252893227,1.4350845252893227,2-10 mm
202400000109,203 988 301,155 781 557,A01,4,2,1,1,2005.0,0,1,0,-1,-1, -1,-1,97407,23,3,2024,17:05,1,1,1,9,6," -20,93623082","55,32559848",4,2,2,2,0,2,70,7,0,1,7,1,1,0.8,1,3.2000000000000037,3.2,3.2,25.7,indemne,0,0,voiture,jour,autre,1,communale,autre/multiple,passager,ceinture,homme,0,inconnu,19.0,18-25,2024-03-23,5,1,17,0,pointe soir,1.4350845252893236,1.4350845252893227,1.4350845252893227,2-10 mm
202400000109,203 988 302,155 781 557,A01,10,3,3,1,1974.0,0,0,-1,-1,6,9,1,97407,23,3,2024,17:05,1,1,1,9,6," -20,93623082","55,32559848",4,2,2,2,0,2,70,7,0,1,7,1,1,0.8,1,3.2000000000000037,3.2,3.2,25.7,hospitalisé,2,1,voiture,jour,autre,1,communale,autre/multiple,piéton,sans équipement,homme,0,inconnu,50.0,35-50,2024-03-23,5,1,17,0,pointe soir,1.4350845252893236,1.4350845252893227,1.4350845252893227,2-10 mm
202400000109,203 988 303,155 781 557,A01,1,1,1,1,2003.0,5,1,8,-1,-1, -1,-1,97407,23,3,2024,17:05,1,1,1,9,6," -20,93623082","55,32559848",4,2,2,2,0,2,70,7,0,1,7,1,1,0.8,1,3.2000000000000037,3.2,3.2,25.7,indemne,0,0,voiture,jour,autre,1,communale,autre/multiple,conducteur,ceinture,homme,0,promenade,21.0,18-25,2024-03-23,5,1,17,0,pointe soir,1.4350845252893236,1.4350845252893227,1.4350845252893227,2-10 mm
202400000160,203 988 175,155 781 467,A01,1,1,3,1,1993.0,0,2,6,9,0,0,-1,97415,25,3,2024,07:15,1,1,1,1,6," -20,96343800","55,30267600",2,1,4,1,0,1,90,33,4,0,3,3,1,0.0,0,0.0,0.0,0.0,26.8,hospitalisé,2,1,2RM >125cm³,jour,normale,0,nationale,autre/multiple,conducteur,casque,homme,0,inconnu,31.0,25-35,2024-03-25,0,0,7,0,pointe matin,0.0,0.0,0.0,0 mm
202400000184,203 988 110,155 781 425,C01,5,2,1,1,1964.0,9,1,0,-1,-1, -1,-1,97411,13,8,2024,20:10,5,2,7,1,4," -20,89337000","55,47051000",2,1,1,1,0,1,70,7,0,2,5,2,1,0.0,0,0.0,0.0,0.0,21.2,indemne,0,0,voiture,nuit éclairage allumé,normale,0,nationale,autre/multiple,passager,ceinture,homme,1,autre,60.0,50-65,2024-08-13,1,0,20,0,nuit/soirée,0.0,0.0,0.0,0 mm
